sub_code,sub_name
9ITX1,ITALIAN EXTENSION
9JAP1,JAPANESE
9JAPF,JAPANESE FULL
9JAPH,JAPANESE HALF
9KAU,KAURNA
9KAU1,KAURNA
9LIT,LITERACY
9LITAF,LITERACY
9LITCOACH,LITERACY COACHING
9LITE,ESL LITERACY
9LITP,LITERACY
9LITT,LEARNING SUPPORT
9LITY,LITERACY
9LITZ,LITERACY
9LNKLIT,LINK LITERACY
9LNKMA,LINK MATHS
9LNKSCI,LINK SCIENCE
9LNSP,LEARNING SUPPORT
9MDNM,METALWORK
9MDNW,WOODWORK
9METS1,METALWORK
9METS2,METALWORK
9METS3,METALWORK
9METS4,METALWORK
9MKT,MAKERS TECH
9MME,DIGITAL MEDIA
9MMES1,MULTI MEDIA
9MMES2,MULTI MEDIA
